YEAR,DOY,Hour,Kp index,R (Sunspot No.),"Dst-index, nT","ap_index, nT",f10.7_index
2020,3,19,3,13,-2,2,68.9
2020,3,20,3,13,-3,2,68.9
2020,3,21,13,13,-7,5,68.9
2020,3,22,13,13,-8,5,68.9
2020,3,23,13,13,-10,5,68.9
2020,4,0,17,12,-8,6,69.8
2020,4,1,17,12,-7,6,69.8
2020,4,2,17,12,-4,6,69.8
2020,4,3,7,12,-3,3,69.8
2020,4,4,7,12,-2,3,69.8
2020,4,5,7,12,-6,3,69.8
2020,4,6,7,12,-8,3,69.8
2020,4,7,7,12,-9,3,69.8
2020,4,8,7,12,-7,3,69.8
2020,4,9,7,12,-5,3,69.8
2020,4,10,7,12,-2,3,69.8
2020,4,11,7,12,0,3,69.8
2020,4,12,10,12,0,4,69.8
2020,4,13,10,12,-1,4,69.8
2020,4,14,10,12,-5,4,69.8
2020,4,15,20,12,-11,7,69.8
2020,4,16,20,12,-18,7,69.8
2020,4,17,20,12,-24,7,69.8
2020,4,18,23,12,-24,9,69.8
2020,4,19,23,12,-21,9,69.8
2020,4,20,23,12,-18,9,69.8
2020,4,21,20,12,-22,7,69.8
2020,4,22,20,12,-20,7,69.8
2020,4,23,20,12,-18,7,69.8
2020,5,0,17,14,-15,6,69.4
2020,5,1,17,14,-15,6,69.4
2020,5,2,17,14,-12,6,69.4
2020,5,3,10,14,-9,4,69.4
2020,5,4,10,14,-8,4,69.4
2020,5,5,10,14,-9,4,69.4
2020,5,6,17,14,-6,6,69.4
2020,5,7,17,14,-8,6,69.4
2020,5,8,17,14,-4,6,69.4
2020,5,9,13,14,-2,5,69.4
2020,5,10,13,14,-1,5,69.4
2020,5,11,13,14,2,5,69.4
2020,5,12,20,14,3,7,69.4
2020,5,13,20,14,6,7,69.4
2020,5,14,20,14,4,7,69.4
2020,5,15,20,14,3,7,69.4
2020,5,16,20,14,2,7,69.4
2020,5,17,20,14,7,7,69.4
2020,5,18,33,14,5,18,69.4
2020,5,19,33,14,-15,18,69.4
2020,5,20,33,14,-19,18,69.4
2020,5,21,27,14,-21,12,69.4
2020,5,22,27,14,-18,12,69.4
2020,5,23,27,14,-19,12,69.4
2020,6,0,33,7,-23,18,68.1
2020,6,1,33,7,-23,18,68.1
2020,6,2,33,7,-16,18,68.1
2020,6,3,30,7,-10,15,68.1
2020,6,4,30,7,-9,15,68.1
2020,6,5,30,7,-10,15,68.1
2020,6,6,17,7,-10,6,68.1
2020,6,7,17,7,-10,6,68.1
2020,6,8,17,7,-9,6,68.1
2020,6,9,3,7,-7,2,68.1
2020,6,10,3,7,-4,2,68.1
2020,6,11,3,7,-4,2,68.1
2020,6,12,7,7,-4,3,68.1
2020,6,13,7,7,-6,3,68.1
2020,6,14,7,7,-6,3,68.1
2020,6,15,10,7,-3,4,68.1
2020,6,16,10,7,-5,4,68.1
2020,6,17,10,7,-7,4,68.1
2020,6,18,23,7,-12,9,68.1
2020,6,19,23,7,-15,9,68.1
2020,6,20,23,7,-10,9,68.1
2020,6,21,17,7,-8,6,68.1
2020,6,22,17,7,-3,6,68.1
2020,6,23,17,7,-3,6,68.1
2020,7,0,10,4,-7,4,69.3
2020,7,1,10,4,-8,4,69.3
2020,7,2,10,4,-5,4,69.3
2020,7,3,17,4,-4,6,69.3
2020,7,4,17,4,-7,6,69.3
2020,7,5,17,4,-7,6,69.3
2020,7,6,10,4,-6,4,69.3
2020,7,7,10,4,-6,4,69.3
2020,7,8,10,4,-7,4,69.3
2020,7,9,3,4,-7,2,69.3
2020,7,10,3,4,-4,2,69.3
2020,7,11,3,4,-2,2,69.3
2020,7,12,7,4,-3,3,69.3
2020,7,13,7,4,-3,3,69.3
2020,7,14,7,4,-2,3,69.3
2020,7,15,10,4,0,4,69.3
2020,7,16,10,4,-3,4,69.3
2020,7,17,10,4,-8,4,69.3
2020,7,18,13,4,-9,5,69.3
2020,7,19,13,4,-6,5,69.3
2020,7,20,13,4,-4,5,69.3
2020,7,21,20,4,-8,7,69.3
2020,7,22,20,4,-10,7,69.3
2020,7,23,20,4,-7,7,69.3
2020,8,0,10,4,-6,4,71.2
2020,8,1,10,4,-5,4,71.2
2020,8,2,10,4,-5,4,71.2
2020,8,3,10,4,-5,4,71.2
2020,8,4,10,4,-2,4,71.2
2020,8,5,10,4,-4,4,71.2
2020,8,6,3,4,-10,2,71.2
2020,8,7,3,4,-15,2,71.2
2020,8,8,3,4,-17,2,71.2
2020,8,9,3,4,-16,2,71.2
2020,8,10,3,4,-11,2,71.2
2020,8,11,3,4,-4,2,71.2
2020,8,12,17,4,2,6,71.2
2020,8,13,17,4,1,6,71.2
2020,8,14,17,4,2,6,71.2
2020,8,15,27,4,-1,12,71.2
2020,8,16,27,4,-2,12,71.2
2020,8,17,27,4,-10,12,71.2
2020,8,18,17,4,-16,6,71.2
2020,8,19,17,4,-16,6,71.2
2020,8,20,17,4,-13,6,71.2
2020,8,21,23,4,-18,9,71.2
2020,8,22,23,4,-21,9,71.2
2020,8,23,23,4,-21,9,71.2
2020,9,0,27,15,-20,12,71.9
2020,9,1,27,15,-19,12,71.9
2020,9,2,27,15,-15,12,71.9
2020,9,3,30,15,-12,15,71.9
2020,9,4,30,15,-11,15,71.9
2020,9,5,30,15,-18,15,71.9
2020,9,6,37,15,-24,22,71.9
2020,9,7,37,15,-31,22,71.9
2020,9,8,37,15,-30,22,71.9
2020,9,9,23,15,-28,9,71.9
2020,9,10,23,15,-27,9,71.9
2020,9,11,23,15,-19,9,71.9
2020,9,12,17,15,-21,6,71.9
2020,9,13,17,15,-20,6,71.9
2020,9,14,17,15,-19,6,71.9
2020,9,15,23,15,-15,9,71.9
2020,9,16,23,15,-10,9,71.9
2020,9,17,23,15,-10,9,71.9
2020,9,18,23,15,-15,9,71.9
2020,9,19,23,15,-21,9,71.9
2020,9,20,23,15,-22,9,71.9
2020,9,21,17,15,-18,6,71.9
2020,9,22,17,15,-15,6,71.9
2020,9,23,17,15,-9,6,71.9
2020,10,0,10,4,-7,4,70.4
2020,10,1,10,4,-7,4,70.4
2020,10,2,10,4,-8,4,70.4
2020,10,3,7,4,-7,3,70.4
2020,10,4,7,4,-7,3,70.4
2020,10,5,7,4,-9,3,70.4
2020,10,6,23,4,-13,9,70.4
2020,10,7,23,4,-13,9,70.4
2020,10,8,23,4,-13,9,70.4
2020,10,9,23,4,-14,9,70.4
2020,10,10,23,4,-14,9,70.4
2020,10,11,23,4,-17,9,70.4
2020,10,12,17,4,-15,6,70.4
2020,10,13,17,4,-11,6,70.4
2020,10,14,17,4,-8,6,70.4
2020,10,15,17,4,-7,6,70.4
2020,10,16,17,4,-9,6,70.4
2020,10,17,17,4,-8,6,70.4
2020,10,18,13,4,-9,5,70.4
2020,10,19,13,4,-9,5,70.4
2020,10,20,13,4,-11,5,70.4
2020,10,21,7,4,-11,3,70.4
2020,10,22,7,4,-7,3,70.4
2020,10,23,7,4,-9,3,70.4
2020,11,0,20,0,-8,7,71.0
2020,11,1,20,0,-5,7,71.0
2020,11,2,20,0,-5,7,71.0
2020,11,3,23,0,-7,9,71.0
2020,11,4,23,0,-10,9,71.0
2020,11,5,23,0,-9,9,71.0
2020,11,6,20,0,-12,7,71.0
2020,11,7,20,0,-14,7,71.0
2020,11,8,20,0,-18,7,71.0
2020,11,9,13,0,-17,5,71.0
2020,11,10,13,0,-14,5,71.0
2020,11,11,13,0,-11,5,71.0
2020,11,12,3,0,-6,2,71.0
2020,11,13,3,0,-4,2,71.0
2020,11,14,3,0,-4,2,71.0
2020,11,15,13,0,-3,5,71.0
2020,11,16,13,0,-3,5,71.0
2020,11,17,13,0,-4,5,71.0
2020,11,18,3,0,-5,2,71.0
2020,11,19,3,0,-4,2,71.0
2020,11,20,3,0,-4,2,71.0
2020,11,21,7,0,-8,3,71.0
2020,11,22,7,0,-8,3,71.0
2020,11,23,7,0,-9,3,71.0
2020,12,0,10,0,-7,4,69.5
2020,12,1,10,0,-5,4,69.5
2020,12,2,10,0,-4,4,69.5
2020,12,3,17,0,-5,6,69.5
2020,12,4,17,0,-6,6,69.5
2020,12,5,17,0,-7,6,69.5
2020,12,6,7,0,-10,3,69.5
2020,12,7,7,0,-13,3,69.5
2020,12,8,7,0,-16,3,69.5
2020,12,9,3,0,-14,2,69.5
2020,12,10,3,0,-12,2,69.5
2020,12,11,3,0,-10,2,69.5
2020,12,12,3,0,-7,2,69.5
2020,12,13,3,0,-4,2,69.5
2020,12,14,3,0,-2,2,69.5
2020,12,15,0,0,-1,0,69.5
2020,12,16,0,0,-3,0,69.5
2020,12,17,0,0,-5,0,69.5
2020,12,18,0,0,-6,0,69.5
2020,12,19,0,0,-7,0,69.5
2020,12,20,0,0,-6,0,69.5
2020,12,21,3,0,-8,2,69.5
2020,12,22,3,0,-6,2,69.5
2020,12,23,3,0,-3,2,69.5
2020,13,0,3,0,-4,2,69.1
2020,13,1,3,0,-2,2,69.1
2020,13,2,3,0,0,2,69.1
2020,13,3,7,0,-1,3,69.1
2020,13,4,7,0,-2,3,69.1
2020,13,5,7,0,-1,3,69.1
2020,13,6,3,0,-1,2,69.1
2020,13,7,3,0,-1,2,69.1
2020,13,8,3,0,-3,2,69.1
2020,13,9,3,0,-2,2,69.1
2020,13,10,3,0,-3,2,69.1
2020,13,11,3,0,-4,2,69.1
2020,13,12,3,0,-5,2,69.1
2020,13,13,3,0,-3,2,69.1
2020,13,14,3,0,1,2,69.1
2020,13,15,0,0,1,0,69.1
2020,13,16,0,0,-2,0,69.1
2020,13,17,0,0,-1,0,69.1
2020,13,18,7,0,-1,3,69.1
2020,13,19,7,0,-2,3,69.1
2020,13,20,7,0,-2,3,69.1
2020,13,21,7,0,0,3,69.1
2020,13,22,7,0,1,3,69.1
2020,13,23,7,0,1,3,69.1
2020,14,0,3,0,-1,2,69.5
2020,14,1,3,0,0,2,69.5
2020,14,2,3,0,3,2,69.5
2020,14,3,3,0,5,2,69.5
2020,14,4,3,0,5,2,69.5
2020,14,5,3,0,4,2,69.5
2020,14,6,3,0,1,2,69.5
2020,14,7,3,0,0,2,69.5
2020,14,8,3,0,-3,2,69.5
2020,14,9,7,0,-6,3,69.5
2020,14,10,7,0,-5,3,69.5
2020,14,11,7,0,-4,3,69.5
2020,14,12,3,0,-5,2,69.5
2020,14,13,3,0,-7,2,69.5
2020,14,14,3,0,-8,2,69.5
2020,14,15,3,0,-5,2,69.5
2020,14,16,3,0,-6,2,69.5
2020,14,17,3,0,-4,2,69.5
2020,14,18,0,0,-5,0,69.5
2020,14,19,0,0,-4,0,69.5
2020,14,20,0,0,-2,0,69.5
2020,14,21,0,0,0,0,69.5
2020,14,22,0,0,-2,0,69.5
2020,14,23,0,0,-4,0,69.5
2020,15,0,3,0,-6,2,68.9
2020,15,1,3,0,-4,2,68.9
2020,15,2,3,0,-1,2,68.9
2020,15,3,0,0,3,0,68.9
2020,15,4,0,0,5,0,68.9
2020,15,5,0,0,6,0,68.9
2020,15,6,7,0,3,3,68.9
2020,15,7,7,0,0,3,68.9
2020,15,8,7,0,-2,3,68.9
2020,15,9,20,0,-7,7,68.9
2020,15,10,20,0,-10,7,68.9
2020,15,11,20,0,-6,7,68.9
2020,15,12,7,0,-1,3,68.9
2020,15,13,7,0,0,3,68.9
2020,15,14,7,0,0,3,68.9
2020,15,15,7,0,3,3,68.9
2020,15,16,7,0,4,3,68.9
2020,15,17,7,0,7,3,68.9
2020,15,18,7,0,6,3,68.9
2020,15,19,7,0,9,3,68.9
2020,15,20,7,0,13,3,68.9
2020,15,21,13,0,9,5,68.9
2020,15,22,13,0,4,5,68.9
2020,15,23,13,0,1,5,68.9
2020,16,0,7,0,0,3,69.4
2020,16,1,7,0,3,3,69.4
2020,16,2,7,0,7,3,69.4
2020,16,3,23,0,7,9,69.4
2020,16,4,23,0,10,9,69.4
2020,16,5,23,0,7,9,69.4
2020,16,6,17,0,10,6,69.4
2020,16,7,17,0,6,6,69.4
2020,16,8,17,0,3,6,69.4
2020,16,9,13,0,-2,5,69.4
2020,16,10,13,0,-9,5,69.4
2020,16,11,13,0,-13,5,69.4
2020,16,12,7,0,-12,3,69.4
2020,16,13,7,0,-9,3,69.4
2020,16,14,7,0,-9,3,69.4
2020,16,15,7,0,-6,3,69.4
2020,16,16,7,0,-4,3,69.4
2020,16,17,7,0,-6,3,69.4
2020,16,18,3,0,-5,2,69.4
2020,16,19,3,0,-4,2,69.4
2020,16,20,3,0,-7,2,69.4
2020,16,21,3,0,-7,2,69.4
2020,16,22,3,0,-4,2,69.4
2020,16,23,3,0,-5,2,69.4
2020,17,0,7,0,-4,3,67.9
2020,17,1,7,0,-2,3,67.9
2020,17,2,7,0,0,3,67.9
2020,17,3,3,0,2,2,67.9
2020,17,4,3,0,4,2,67.9
2020,17,5,3,0,3,2,67.9
2020,17,6,3,0,3,2,67.9
2020,17,7,3,0,1,2,67.9
2020,17,8,3,0,2,2,67.9
2020,17,9,0,0,0,0,67.9
2020,17,10,0,0,0,0,67.9
2020,17,11,0,0,3,0,67.9
2020,17,12,3,0,5,2,67.9
2020,17,13,3,0,6,2,67.9
2020,17,14,3,0,4,2,67.9
2020,17,15,13,0,5,5,67.9
2020,17,16,13,0,4,5,67.9
2020,17,17,13,0,3,5,67.9
2020,17,18,10,0,6,4,67.9
2020,17,19,10,0,8,4,67.9
2020,17,20,10,0,5,4,67.9
2020,17,21,3,0,2,2,67.9
2020,17,22,3,0,2,2,67.9
2020,17,23,3,0,1,2,67.9
2020,18,0,17,0,4,6,69.0
2020,18,1,17,0,4,6,69.0
2020,18,2,17,0,0,6,69.0
2020,18,3,17,0,-2,6,69.0
2020,18,4,17,0,0,6,69.0
2020,18,5,17,0,1,6,69.0
2020,18,6,7,0,1,3,69.0
2020,18,7,7,0,1,3,69.0
2020,18,8,7,0,1,3,69.0
2020,18,9,0,0,2,0,69.0
2020,18,10,0,0,1,0,69.0
2020,18,11,0,0,2,0,69.0
2020,18,12,3,0,3,2,69.0
2020,18,13,3,0,2,2,69.0
2020,18,14,3,0,2,2,69.0
2020,18,15,0,0,4,0,69.0
2020,18,16,0,0,7,0,69.0
2020,18,17,0,0,10,0,69.0
2020,18,18,0,0,9,0,69.0
2020,18,19,0,0,8,0,69.0
2020,18,20,0,0,8,0,69.0
2020,18,21,3,0,6,2,69.0
2020,18,22,3,0,4,2,69.0
2020,18,23,3,0,3,2,69.0
2020,19,0,0,0,5,0,69.5
2020,19,1,0,0,4,0,69.5
2020,19,2,0,0,5,0,69.5
2020,19,3,7,0,5,3,69.5
2020,19,4,7,0,4,3,69.5
2020,19,5,7,0,3,3,69.5
2020,19,6,0,0,3,0,69.5
2020,19,7,0,0,4,0,69.5
2020,19,8,0,0,5,0,69.5
2020,19,9,0,0,3,0,69.5
2020,19,10,0,0,2,0,69.5
2020,19,11,0,0,2,0,69.5
2020,19,12,0,0,4,0,69.5
2020,19,13,0,0,3,0,69.5
2020,19,14,0,0,1,0,69.5
2020,19,15,3,0,2,2,69.5
2020,19,16,3,0,5,2,69.5
2020,19,17,3,0,5,2,69.5
2020,19,18,0,0,4,0,69.5
2020,19,19,0,0,3,0,69.5
2020,19,20,0,0,2,0,69.5
2020,19,21,0,0,2,0,69.5
2020,19,22,0,0,0,0,69.5
2020,19,23,0,0,0,0,69.5
2020,20,0,0,0,1,0,69.0
2020,20,1,0,0,0,0,69.0
2020,20,2,0,0,-2,0,69.0
2020,20,3,3,0,-4,2,69.0
2020,20,4,3,0,-3,2,69.0
2020,20,5,3,0,-1,2,69.0
2020,20,6,0,0,-1,0,69.0
2020,20,7,0,0,0,0,69.0
2020,20,8,0,0,3,0,69.0
2020,20,9,0,0,4,0,69.0
2020,20,10,0,0,3,0,69.0
2020,20,11,0,0,4,0,69.0
2020,20,12,0,0,6,0,69.0
2020,20,13,0,0,6,0,69.0
2020,20,14,0,0,5,0,69.0
2020,20,15,0,0,3,0,69.0
2020,20,16,0,0,4,0,69.0
2020,20,17,0,0,5,0,69.0
2020,20,18,3,0,4,2,69.0
2020,20,19,3,0,4,2,69.0
2020,20,20,3,0,3,2,69.0
2020,20,21,0,0,1,0,69.0
2020,20,22,0,0,0,0,69.0
2020,20,23,0,0,-1,0,69.0
2020,21,0,0,0,2,0,68.3
2020,21,1,0,0,3,0,68.3
2020,21,2,0,0,3,0,68.3
2020,21,3,0,0,3,0,68.3
2020,21,4,0,0,3,0,68.3
2020,21,5,0,0,4,0,68.3
2020,21,6,7,0,5,3,68.3
2020,21,7,7,0,3,3,68.3
2020,21,8,7,0,2,3,68.3
2020,21,9,10,0,5,4,68.3
2020,21,10,10,0,13,4,68.3
2020,21,11,10,0,18,4,68.3
2020,21,12,13,0,21,5,68.3
2020,21,13,13,0,20,5,68.3
2020,21,14,13,0,10,5,68.3
2020,21,15,27,0,-1,12,68.3
2020,21,16,27,0,-5,12,68.3
2020,21,17,27,0,-2,12,68.3
2020,21,18,23,0,0,9,68.3
2020,21,19,23,0,-7,9,68.3
2020,21,20,23,0,-12,9,68.3
2020,21,21,23,0,-14,9,68.3
2020,21,22,23,0,-9,9,68.3
2020,21,23,23,0,-7,9,68.3
2020,22,0,17,0,-10,6,69.6
2020,22,1,17,0,-12,6,69.6
2020,22,2,17,0,-12,6,69.6
2020,22,3,23,0,-10,9,69.6
2020,22,4,23,0,-12,9,69.6
2020,22,5,23,0,-13,9,69.6
2020,22,6,10,0,-10,4,69.6
2020,22,7,10,0,-7,4,69.6
2020,22,8,10,0,-6,4,69.6
2020,22,9,13,0,-6,5,69.6
2020,22,10,13,0,-7,5,69.6
2020,22,11,13,0,-8,5,69.6
2020,22,12,10,0,-7,4,69.6
2020,22,13,10,0,-6,4,69.6
2020,22,14,10,0,-3,4,69.6
2020,22,15,3,0,-2,2,69.6
2020,22,16,3,0,-3,2,69.6
2020,22,17,3,0,-5,2,69.6
2020,22,18,10,0,-5,4,69.6
2020,22,19,10,0,-4,4,69.6
2020,22,20,10,0,-5,4,69.6
2020,22,21,30,0,-9,15,69.6
2020,22,22,30,0,-3,15,69.6
2020,22,23,30,0,0,15,69.6
2020,23,0,17,0,-3,6,68.6
2020,23,1,17,0,-8,6,68.6
2020,23,2,17,0,-8,6,68.6
2020,23,3,23,0,-7,9,68.6
2020,23,4,23,0,-5,9,68.6
2020,23,5,23,0,-5,9,68.6
2020,23,6,3,0,-6,2,68.6
2020,23,7,3,0,-9,2,68.6
2020,23,8,3,0,-12,2,68.6
2020,23,9,3,0,-12,2,68.6
2020,23,10,3,0,-11,2,68.6
2020,23,11,3,0,-10,2,68.6
2020,23,12,0,0,-7,0,68.6
2020,23,13,0,0,-6,0,68.6
2020,23,14,0,0,-6,0,68.6
2020,23,15,3,0,-6,2,68.6
2020,23,16,3,0,-5,2,68.6
2020,23,17,3,0,-9,2,68.6
2020,23,18,13,0,-12,5,68.6
2020,23,19,13,0,-13,5,68.6
2020,23,20,13,0,-14,5,68.6
2020,23,21,7,0,-13,3,68.6
2020,23,22,7,0,-8,3,68.6
2020,23,23,7,0,-6,3,68.6
2020,24,0,10,8,-7,4,68.8
2020,24,1,10,8,-7,4,68.8
2020,24,2,10,8,-6,4,68.8
2020,24,3,0,8,-6,0,68.8
2020,24,4,0,8,-8,0,68.8
2020,24,5,0,8,-8,0,68.8
2020,24,6,0,8,-6,0,68.8
2020,24,7,0,8,-5,0,68.8
2020,24,8,0,8,-2,0,68.8
2020,24,9,0,8,0,0,68.8
2020,24,10,0,8,1,0,68.8
2020,24,11,0,8,0,0,68.8
2020,24,12,3,8,-1,2,68.8
2020,24,13,3,8,0,2,68.8
2020,24,14,3,8,0,2,68.8
2020,24,15,3,8,-1,2,68.8
2020,24,16,3,8,-1,2,68.8
2020,24,17,3,8,-3,2,68.8
2020,24,18,3,8,0,2,68.8
2020,24,19,3,8,1,2,68.8
2020,24,20,3,8,2,2,68.8
2020,24,21,3,8,2,2,68.8
2020,24,22,3,8,4,2,68.8
2020,24,23,3,8,5,2,68.8
2020,25,0,0,12,8,0,70.4
2020,25,1,0,12,7,0,70.4
2020,25,2,0,12,5,0,70.4
2020,25,3,23,12,5,9,70.4
2020,25,4,23,12,3,9,70.4
2020,25,5,23,12,1,9,70.4
2020,25,6,7,12,0,3,70.4
2020,25,7,7,12,-1,3,70.4
2020,25,8,7,12,0,3,70.4
2020,25,9,3,12,0,2,70.4
2020,25,10,3,12,3,2,70.4
2020,25,11,3,12,4,2,70.4
2020,25,12,3,12,6,2,70.4
2020,25,13,3,12,5,2,70.4
2020,25,14,3,12,5,2,70.4
2020,25,15,0,12,5,0,70.4
2020,25,16,0,12,6,0,70.4
2020,25,17,0,12,5,0,70.4
2020,25,18,3,12,4,2,70.4
2020,25,19,3,12,6,2,70.4
2020,25,20,3,12,7,2,70.4
2020,25,21,0,12,6,0,70.4
2020,25,22,0,12,9,0,70.4
2020,25,23,0,12,11,0,70.4
2020,26,0,10,19,11,4,72.4
2020,26,1,10,19,9,4,72.4
2020,26,2,10,19,10,4,72.4
2020,26,3,7,19,11,3,72.4
2020,26,4,7,19,12,3,72.4
2020,26,5,7,19,9,3,72.4
2020,26,6,0,19,4,0,72.4
2020,26,7,0,19,1,0,72.4
2020,26,8,0,19,-2,0,72.4
2020,26,9,3,19,-2,2,72.4
2020,26,10,3,19,0,2,72.4
2020,26,11,3,19,3,2,72.4
2020,26,12,10,19,3,4,72.4
2020,26,13,10,19,4,4,72.4
2020,26,14,10,19,5,4,72.4
2020,26,15,17,19,9,6,72.4
2020,26,16,17,19,9,6,72.4
2020,26,17,17,19,8,6,72.4
2020,26,18,7,19,10,3,72.4
2020,26,19,7,19,10,3,72.4
2020,26,20,7,19,10,3,72.4
2020,26,21,0,19,8,0,72.4
2020,26,22,0,19,10,0,72.4
2020,26,23,0,19,7,0,72.4
2020,27,0,3,14,7,2,70.7
2020,27,1,3,14,11,2,70.7
2020,27,2,3,14,12,2,70.7
2020,27,3,10,14,10,4,70.7
2020,27,4,10,14,7,4,70.7
2020,27,5,10,14,4,4,70.7
2020,27,6,10,14,1,4,70.7
2020,27,7,10,14,2,4,70.7
2020,27,8,10,14,0,4,70.7
2020,27,9,0,14,-1,0,70.7
2020,27,10,0,14,2,0,70.7
2020,27,11,0,14,3,0,70.7
2020,27,12,3,14,5,2,70.7
2020,27,13,3,14,6,2,70.7
2020,27,14,3,14,4,2,70.7
2020,27,15,0,14,5,0,70.7
2020,27,16,0,14,5,0,70.7
2020,27,17,0,14,3,0,70.7
2020,27,18,0,14,1,0,70.7
2020,27,19,0,14,0,0,70.7
2020,27,20,0,14,1,0,70.7
2020,27,21,0,14,2,0,70.7
2020,27,22,0,14,3,0,70.7
2020,27,23,0,14,3,0,70.7
2020,28,0,10,12,2,4,72.0
2020,28,1,10,12,4,4,72.0
2020,28,2,10,12,4,4,72.0
2020,28,3,13,12,0,5,72.0
2020,28,4,13,12,-2,5,72.0
2020,28,5,13,12,-4,5,72.0
2020,28,6,10,12,-5,4,72.0
2020,28,7,10,12,-8,4,72.0
2020,28,8,10,12,-7,4,72.0
2020,28,9,3,12,-6,2,72.0
2020,28,10,3,12,1,2,72.0
2020,28,11,3,12,7,2,72.0
2020,28,12,0,12,10,0,72.0
2020,28,13,0,12,9,0,72.0
2020,28,14,0,12,9,0,72.0
2020,28,15,3,12,10,2,72.0
2020,28,16,3,12,9,2,72.0
2020,28,17,3,12,7,2,72.0
2020,28,18,7,12,6,3,72.0
2020,28,19,7,12,9,3,72.0
2020,28,20,7,12,10,3,72.0
2020,28,21,30,12,4,15,72.0
2020,28,22,30,12,8,15,72.0
2020,28,23,30,12,1,15,72.0
2020,29,0,30,12,-9,15,72.0
2020,29,1,30,12,-8,15,72.0
2020,29,2,30,12,-9,15,72.0
2020,29,3,33,12,-16,18,72.0
2020,29,4,33,12,-14,18,72.0
2020,29,5,33,12,-12,18,72.0
2020,29,6,17,12,-16,6,72.0
2020,29,7,17,12,-20,6,72.0
2020,29,8,17,12,-20,6,72.0
2020,29,9,13,12,-15,5,72.0
2020,29,10,13,12,-8,5,72.0
2020,29,11,13,12,-4,5,72.0
2020,29,12,3,12,-1,2,72.0
2020,29,13,3,12,-2,2,72.0
2020,29,14,3,12,-4,2,72.0
2020,29,15,17,12,-4,6,72.0
2020,29,16,17,12,-5,6,72.0
2020,29,17,17,12,-10,6,72.0
2020,29,18,17,12,-12,6,72.0
2020,29,19,17,12,-10,6,72.0
2020,29,20,17,12,-14,6,72.0
2020,29,21,20,12,-13,7,72.0
2020,29,22,20,12,-6,7,72.0
2020,29,23,20,12,-6,7,72.0
2020,30,0,20,12,-3,7,71.9
2020,30,1,20,12,-1,7,71.9
2020,30,2,20,12,0,7,71.9
2020,30,3,27,12,0,12,71.9
2020,30,4,27,12,0,12,71.9
2020,30,5,27,12,-6,12,71.9
2020,30,6,20,12,-10,7,71.9
2020,30,7,20,12,-15,7,71.9
2020,30,8,20,12,-13,7,71.9
2020,30,9,17,12,-13,6,71.9
2020,30,10,17,12,-13,6,71.9
2020,30,11,17,12,-9,6,71.9
2020,30,12,23,12,-7,9,71.9
